text,created_at,id_str,retweet_count,favorite_count,in_reply_to_screen_name,geo,source,language,followers_count,id,name_at_tweet_time,screen_name,user_location,user_created_at,search_term_group,search_term
Entrou o Scooby Doo clássico no HBO Max!!!!! Assinei só pra esse momento,2021-10-25 00:10:05,1452427207058628611,0,1,,,Twitter for iPhone,pt,735,184493484,Bueno.,ok__diego,"Sao Paulo, Brazil",Sun Aug 29 18:15:53 +0000 2010,hbomax,hbo max
Simplesmente pago hbo max e star+ pra ver futebol eu simplesmente não sei assistir coisas,2021-10-25 00:06:03,1452426189948215300,0,1,,,Twitter for iPhone,pt,364,371948480,yag0,yagolukaz,"Santo André, Brasil",Sun Sep 11 20:39:21 +0000 2011,hbomax,hbo max
o aplicativo do hbo max eh péssimo ein,2021-10-24 23:52:44,1452422838443560967,0,5,,,Twitter for iPhone,pt,4665,60218939,the lost boy,thelifeofotavio,"São Paulo, Brasil",Sun Jul 26 03:14:59 +0000 2009,hbomax,hbo max
como é o esquema de succession pra quem só assina HBO Max e não tem o canal ao vivo? libera pra nós depois que passa?,2021-10-24 23:40:02,1452419643063287814,0,35,,,Twitter for Android,pt,74004,17514995,thiago,orathiago,São Paulo,Thu Nov 20 16:36:30 +0000 2008,hbomax,hbo max
"Assistam Young Justice 1 e 2  temporadas (Netflix)
3 e 4 Temporadas (HBO Max) https://t.co/Lu74EAccfB",2021-10-24 23:21:26,1452414963079958532,0,0,,,Twitter for Android,pt,15,1337586674017169408,suposto plagio da olivia rodrigo,Ratasemtouille,"Sao Paulo, Brazil",Sat Dec 12 02:34:55 +0000 2020,hbomax,hbo max
Será que a HBO MAX Brasil coloca logo em seguida?,2021-10-24 23:12:49,1452412794020765709,0,0,luiiiz_henrique,,Twitter for Android,pt,250,38908553,Luiz Henrique,luiiiz_henrique,,Sat May 09 19:11:37 +0000 2009,hbomax,hbo max
mds como o serviço da hbo é ruim... o go era terrível e o Max é péssimo! tentando há dias atualizar minhas informaç… https://t.co/FEaARdpkm5,2021-10-24 22:56:07,1452408591332388869,0,2,,,Twitter for iPhone,pt,417,40790439,pam basset,pambassi,"São Paulo, Brasil",Mon May 18 02:14:20 +0000 2009,hbomax,hbo max
Graças a HBO Max lembrei que tem um filme cujo o título é rock´n´rolla,2021-10-24 22:46:19,1452406125761019904,0,2,,,Twitter Web App,pt,1928,41580753,Sad Tomato,MayumeMaldita,"São Paulo, Brasil",Thu May 21 12:59:42 +0000 2009,hbomax,hbo max
Como o aplicativo da HBO Max é ruim. Minha nossa!,2021-10-24 22:20:56,1452399737978621955,0,5,,,Twitter for Android,pt,12535,15393649,R0c40renten🏡,r0cc0,São Paulo,Fri Jul 11 16:49:27 +0000 2008,hbomax,hbo max
acho podre de feias essas publicidades da hbo max que informam um valor baixo e em letras minúsculas colocam que é… https://t.co/6I6S1L7Eue,2021-10-24 21:51:21,1452392292774449154,0,1,,,Twitter Web App,pt,5621,809936632115826688,cv,cvezinha,"São Paulo, Brasil",Sat Dec 17 01:41:55 +0000 2016,hbomax,hbo max
a nova temporada de #Succession só vai ficar no hbo max??,2021-10-24 21:43:33,1452390328925818886,0,1,,,Twitter for iPhone,pt,1459,561378570,tom,Portilhoos,"Sao Paulo, Brazil",Mon Apr 23 16:56:27 +0000 2012,hbomax,hbo max
"Bom, aproveitei o período grátis do Star + e posso dizer com ctz que o pior serviço de streaming é o da HBO Max mesmo. 

Muito lento.",2021-10-24 21:36:18,1452388506156912640,0,8,,,Twitter for Android,pt,1404,220973545,Augusto 🇧🇷🇳🇬,1cesgusto,"São Paulo, Brasil",Mon Nov 29 11:26:40 +0000 2010,hbomax,hbo max
Meu sonho alguém me passar a HBO Max pra eu poder ver friends 😭,2021-10-24 21:22:49,1452385114374160384,0,0,,,Twitter for Android,pt,621,355138489,sereia da disney,toledolikaa,,Sun Aug 14 22:07:24 +0000 2011,hbomax,hbo max
"O sex toy é acionado à distância toda vez que o personagem de Nicholas Braun aparece em cena

https://t.co/URgB9Ql4Vf",2021-10-24 21:11:02,1452382147118051335,0,0,,,Observatório de Séries,pt,111,1033826954745729025,Observatório de Séries,obsdeseries,"São Paulo, Brasil",Sun Aug 26 21:22:08 +0000 2018,hbomax,hbo max
Família Soprano pode ganhar nova série no HBO Max --&gt; https://t.co/YIxMHacWh5 https://t.co/Gc44moO75I,2021-10-24 20:55:04,1452378127036989448,0,0,,,mLabs - Gestão de Redes Sociais,pt,93569,14588912,Virgula,sitevirgula,São Paulo,Tue Apr 29 18:55:05 +0000 2008,hbomax,hbo max
"# 148 - We broke up

Clichê comédia romântica para um domingo, trás boas reflexões e falha em ser minimamente engra… https://t.co/9p3TE1KMox",2021-10-24 20:53:34,1452377751722336258,0,0,lucaz_sfc,,Twitter for Android,pt,630,275736417,"lucas, o hambúrguer",lucaz_sfc,"Guarulhos, Brasil",Fri Apr 01 22:09:24 +0000 2011,hbomax,hbo max
"#duna debutou nos States com arrecadação de 40 milhões. Não fará números impressionantes por lá, mas mundialmente j… https://t.co/blJKqPSzUk",2021-10-24 20:49:16,1452376667591225347,0,1,,,Twitter Web App,pt,914,1373950792483414019,Alex Gonçalves,agmcinefilo,Santo André - São Paulo,Mon Mar 22 10:52:59 +0000 2021,hbomax,hbo max
"Inclusive galerinha, assistam All American na hbo max 🥺🥺🥺🥺",2021-10-24 19:42:06,1452359766148362246,0,0,Izavmelo,,Twitter for Android,pt,28,1348678830907666434,Com Z |📖: Crave a Marca; Amor sob Encomenda,Izavmelo,"São Paulo, Brasil",Mon Jan 11 17:11:21 +0000 2021,hbomax,hbo max
@GustavinPlus @masamist_br @HBOMaxBR Até agora não vi tantas coisas dubladas no Max porém as que eu assisti achei b… https://t.co/4OVgrQnIsD,2021-10-24 19:15:38,1452353107283820545,0,1,GustavinPlus,,Twitter for iPhone,pt,2176,1045388879552024577,Matheus Amaral,cinestera,"São Paulo, Brasil",Thu Sep 27 19:05:06 +0000 2018,hbomax,hbo max
"@Amici1914 Tenho algumas assinaturas de streaming.
Directv Go (que me dá o HBO Max incluído), Netflix, Prime e Disn… https://t.co/MqwPh9XiYh",2021-10-24 19:14:38,1452352855306870794,0,2,Amici1914,,Twitter for Android,pt,115,120839014,Fabio Gasparro,fabiogasparro,"São Paulo, Brazil",Sun Mar 07 18:32:20 +0000 2010,hbomax,hbo max
"Queria assinar Star+ e HBO Max, mas não vou dar esse gostinho para o capitalismo e para o monopólio e hegemonia dos meios de transmissão.",2021-10-24 19:10:00,1452351688963149825,0,2,,,Twitter for iPhone,pt,128,2388658192,ojuara,christianmour,"São Paulo, Brasil",Thu Mar 06 16:09:59 +0000 2014,hbomax,hbo max
@thiagoromariz Cara a estreia tá dentro das expectativas do mercado. Eu não chamaria isso de abaixo de minimamente… https://t.co/WQPEKzk34x,2021-10-24 18:57:10,1452348457684029453,0,1,thiagoromariz,,Twitter for iPhone,pt,152,57488599,thiago dias melhores tvz virão eu ñ garanto,Dias_Thiago,São Paulo/Brasil,Thu Jul 16 23:58:31 +0000 2009,hbomax,hbo max
Dando play em Speed Racer (tá na HBO Max!) e pronto pra ter meu humor melhorado em 150% neste domingo cinzento.,2021-10-24 18:42:57,1452344881616232459,0,2,,,Twitter Web App,pt,707,48820526,Caio Coletti,caiocoletti,"São Paulo, Brasil",Fri Jun 19 20:36:59 +0000 2009,hbomax,hbo max
"Ontem fui ver Esquadrão Suicida no HBO Max e só podia ver ou dublado ou dublado em espanhol

Infelizmente será um filme que não verei",2021-10-24 18:38:17,1452343706779013134,0,2,,,Twitter for Android,pt,379,87736472,Spooky Art 💀,Arth_est,"São Paulo, Brasil",Thu Nov 05 17:24:09 +0000 2009,hbomax,hbo max
tem insecure na hbo max acho que vou começar a assistir ein,2021-10-24 18:35:36,1452343030720172045,1,7,,,Twitter for iPhone,pt,4665,60218939,the lost boy,thelifeofotavio,"São Paulo, Brasil",Sun Jul 26 03:14:59 +0000 2009,hbomax,hbo max
"https://t.co/kbxZEi3H4Z já está com 91 anos, pela idade bem avançada do ator não tem muita ação mas a qualidade do filme é boa!",2021-10-24 18:29:12,1452341418777796616,0,2,,,Twitter for Android,pt,3715,3034861233,𝙇𝙚𝙖𝙣𝙙𝙧𝙤 ⓟ 27/11 🇺🇾 fechado com Abel !,Leandrovisk2211,"São Paulo, Brasil",Fri Feb 13 15:50:48 +0000 2015,hbomax,hbo max
Rola um movimento parecido com a Champions League no HBO Max.,2021-10-24 18:07:18,1452335907936276491,0,3,ren4n,,Twitter for iPhone,pt,1445,15454050,Renan Martins Frade,ren4n,"São Paulo, SP",Wed Jul 16 13:24:10 +0000 2008,hbomax,hbo max
"Eu tenho hbo max, telecine e Netflix, mas mesmo assim toda semana eu fico meia hora para escolher algo pra assistir 🤡🤡🤡",2021-10-24 17:58:31,1452333699668877327,0,0,,,Twitter for Android,pt,946,168259971,✊🏽🏳️‍🌈 Guilherme Brito,Guiilhermebrito,"Guarulhos, Brasil",Sun Jul 18 21:28:03 +0000 2010,hbomax,hbo max
@artursantoro_ acho q hbo max eh so as 23 no ao vivo eh as 22h,2021-10-24 17:36:36,1452328185283104770,0,0,artursantoro_,,Twitter for iPhone,pt,201,2427391993,rod :~,rsg_d3,São Paulo,Fri Apr 04 14:39:07 +0000 2014,hbomax,hbo max
"Clint Eastwood com 91 anos e ainda fazendo filme. Tá inteiro ainda. No HBO Max, filme Cry Macho de 2021. Muito bom… https://t.co/IFYzjV3fjp",2021-10-24 16:57:09,1452318255448797186,0,0,,,Twitter for Android,pt,553,1232821615928410112,benassi,sccp_b3,"São Paulo, Brasil",Thu Feb 27 00:16:03 +0000 2020,hbomax,hbo max
"Passando a conta do HBO Max pra amiga da minha irmã que nunca nem vi na vida pq ela passou a da Globo Play pra mim
É sobre isso sabe",2021-10-24 16:53:41,1452317382165286931,0,0,,,Twitter for Android,pt,236,3070212299,lucas and two crows,LucVenus,São Paulo,Wed Mar 04 16:05:05 +0000 2015,hbomax,hbo max
esse conteúdo que o max tá fazendo sobre succession pra redes sociais tá ruim hein glr alô hbo eu sou coordenadora… https://t.co/jjFfWFjQzG,2021-10-24 16:52:35,1452317104250703883,0,0,,,Twitter for Android,pt,294,193328698,rosana íris,rosanairisff,"São Paulo, Brasil",Tue Sep 21 15:17:56 +0000 2010,hbomax,hbo max
Mesma sensação por aqui… Infelizmente esperarei sair na HBO Max! https://t.co/KaLlBles6R,2021-10-24 16:46:00,1452315447764955139,0,3,,,Twitter for iPhone,pt,707,16095335,Rafael Nery,NNNery,"São Paulo, Brazil",Tue Sep 02 11:32:02 +0000 2008,hbomax,hbo max
tava pilhada pra ver duna no cinema mas vi que vai chegar no hbo max em novembro vou esperar mais um pouco pq dia 5 tem eternossssss,2021-10-24 16:33:47,1452312375894368265,0,0,,,Twitter Web App,pt,175,1729912202,gio²,gdaysif,"São Paulo, Brasil",Wed Sep 04 21:06:28 +0000 2013,hbomax,hbo max
Eu cancelei minha assinatura da Netflix pq esse serviço estava desnecessariamente caro e sem conteudo novo que pres… https://t.co/m3zv67YFXe,2021-10-24 16:32:03,1452311939993022469,0,0,,,Twitter Web App,pt,172,132242803,Jean Braz,JeanBrazSouza,"Sao Paulo, Brazil",Mon Apr 12 17:55:53 +0000 2010,hbomax,hbo max
"@oqueemerula ""Sportv tem no Globoplay"", que é grátis. Então é só assinar Globoplay, Premiere, Star+, HBO Max e Conmebol TV. Jênio!",2021-10-24 16:29:08,1452311206195310593,0,0,oqueemerula,,Twitter for Android,pt,728,57185837,Rodrigo Peres,rodrigo_peres,Osasco - SP - Brasil,Thu Jul 16 00:22:15 +0000 2009,hbomax,hbo max
"#Duna conseguiu quebrar a praga dos ""$30M"" que os filmes da Warner lançados esse ano nos cinemas e no HBO Max simul… https://t.co/09Q1j8MZaB",2021-10-24 16:26:10,1452310456643764228,0,0,,,Twitter for Android,pt,673,31509082,Wonder-Boy,LexGrey,"São Paulo, Brasil",Wed Apr 15 20:25:50 +0000 2009,hbomax,hbo max
"Eu baixei tanta coisa pra assistir em voo, no YouTube, Star+, HBO Max, Netflix, mas queria mesmo que o Wi-Fi funcio… https://t.co/0jLh8bDFEa",2021-10-24 16:12:15,1452306956320903198,0,1,,,Twitter for iPhone,pt,1155,168180357,"B0n1, tiozão do pavê de TI",TiozaodeTI,São Paulo,Sun Jul 18 16:36:09 +0000 2010,hbomax,hbo max
"Disney, corte um filme da marvel AGORA e pague o cachê para termos esse elenco de volta para HSM4. https://t.co/N5EHV4gr1Q",2021-10-25 00:25:15,1452431022059098112,0,1,,,Twitter for iPhone,pt,823,179910407,rica,sodrehzinho,"São Paulo, Brasil",Wed Aug 18 11:37:32 +0000 2010,disney+,disney+
"“Quando o serviço de streaming se popularizar os nossos bolsos agradecerão”.

Premiere: R$ 59
Star+: R$ 37
Netflix:… https://t.co/iU5PROkSDq",2021-10-24 16:10:33,1452306528854323206,0,10,,,Twitter for iPhone,pt,2756,96858056,Ricardo,rts1983,"São Paulo, Brasil",Mon Dec 14 22:46:04 +0000 2009,hbomax,hbo max
"Fusão com o grupo Discovery só deve aumentar a confusão com a marca da plataforma

https://t.co/2toET807xs",2021-10-24 15:32:02,1452296834685210632,0,0,,,Observatório de Séries,pt,111,1033826954745729025,Observatório de Séries,obsdeseries,"São Paulo, Brasil",Sun Aug 26 21:22:08 +0000 2018,hbomax,hbo max
HBO max pisa em qlqer outra plataforma de streaming,2021-10-24 15:24:26,1452294923022127116,0,1,,,Twitter for iPhone,pt,24,1411686357211230209,acacio,sobreacacio,"São Paulo, Brasil",Sun Jul 04 14:00:57 +0000 2021,hbomax,hbo max
"Todos os dias eu penso: Por que a Disney não pôs a ESPN no Disney Plus q nem a Warner pos a TNT Sports no HBO Max...
Que horrível",2021-10-24 14:34:26,1452282338453467157,0,0,,,Twitter for Android,pt,72,1215454084465074181,"Se discordou de mim, estude mais",leosouza010,"São Paulo, Brasil",Fri Jan 10 02:03:47 +0000 2020,hbomax,hbo max
"@iagotuxe eu achei tudo, tem na hbo max da 01 chance!!",2021-10-24 14:17:46,1452278145080569868,0,0,iagotuxe,,Twitter for Android,pt,341,252372499,rauci,raucinho_,"São Paulo, SP",Tue Feb 15 01:59:53 +0000 2011,hbomax,hbo max
"@heiderzito Streaming deveria ser exceção e não regra. Se você pegar HBO Max, GloboPlay canais fechados e Starplus,… https://t.co/ClsnyLuaYV",2021-10-24 14:13:08,1452276977382088706,0,1,heiderzito,,Twitter for iPhone,pt,627,53107458,Ernesto M. Teixeira de Araújo,ernteixeira,"São Paulo, Brasil",Thu Jul 02 16:17:37 +0000 2009,hbomax,hbo max
